Gameweek,1.FC K̦ln,1.FSV Mainz 05,Bayer Leverkusen,Bayern Munich,Borussia Dortmund,Borussia M'gladbach,Darmstadt 98,Eintracht Frankfurt,FC Augsburg,Heidenheim,RB Leipzig,SC Freiburg,TSG Hoffenheim,Union Berlin,VfB Stuttgart,VfL Bochum,VfL Wolfsburg,Werder Bremen
Week 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Week 1,13,16,5,2,7,9,14,8,10,15,11,6,12,3,1,18,4,17
Week 2,15,13,3,2,6,12,17,7,11,16,8,5,10,1,9,14,4,18
Week 3,14,17,1,2,9,16,18,10,12,15,4,8,6,5,3,13,7,11
Week 4,16,18,1,2,7,14,17,9,15,11,3,10,5,8,4,13,6,12
Week 5,16,18,2,1,6,15,17,8,12,13,4,9,5,10,3,14,7,11
Week 6,17,18,1,3,4,13,15,9,14,10,5,8,6,11,2,16,7,12
Week 7,18,17,1,3,4,12,11,8,15,10,6,9,5,13,2,16,7,14
Week 8,16,18,1,3,4,13,12,7,10,11,5,8,6,15,2,17,9,14
Week 9,17,18,1,2,4,11,14,7,10,13,5,8,6,15,3,16,9,12
Week 10,18,17,1,2,4,11,15,7,10,13,5,8,6,16,3,14,9,12
Week 11,17,16,1,2,5,9,15,7,10,13,4,8,6,18,3,14,11,12
Week 12,18,16,1,2,4,11,15,7,10,13,5,9,6,17,3,14,8,12
Week 13,15,17,2,1,5,10,16,7,9,14,4,8,6,18,3,12,11,13
Week 14,16,17,1,2,5,10,18,7,9,13,4,8,6,15,3,14,11,12
Week 15,15,17,1,2,5,11,18,8,10,12,3,6,7,16,4,13,9,14
Week 16,17,16,1,2,5,12,18,6,11,9,4,8,7,15,3,14,10,13
Week 17,17,16,1,2,5,10,18,6,12,9,4,7,8,15,3,14,11,13
Week 18,17,16,1,2,5,12,18,6,10,9,4,7,8,15,3,14,11,13
Week 19,17,16,1,2,4,12,18,6,13,10,5,7,8,15,3,14,11,9
Week 20,16,17,1,2,4,13,18,6,12,10,5,7,8,15,3,14,11,9
Week 21,16,17,1,2,4,13,18,6,11,9,5,7,8,15,3,14,12,10
Week 22,16,17,1,2,4,15,18,6,14,10,5,8,9,13,3,11,12,7
Week 23,16,17,1,2,4,12,18,6,11,10,5,9,7,14,3,15,13,8
Week 24,16,17,1,2,4,12,18,6,10,11,5,9,7,14,3,15,13,8
Week 25,16,17,1,2,4,12,18,6,9,11,5,8,7,14,3,15,13,10
Week 26,17,16,1,2,4,12,18,6,7,11,5,9,8,13,3,15,14,10
Week 27,17,16,1,2,4,13,18,6,7,11,5,8,9,12,3,15,14,10
Week 28,17,16,1,2,5,11,18,6,7,10,4,9,8,13,3,15,14,12
Week 29,17,16,1,2,5,11,18,6,7,10,4,8,9,13,3,15,14,12
Week 30,17,15,1,2,5,12,18,6,8,10,4,7,9,14,3,16,13,11
Week 31,17,16,1,2,5,13,18,6,8,10,4,7,9,14,3,15,12,11
Week 32,17,16,1,2,5,13,18,6,9,10,4,7,8,15,3,14,12,11
Week 33,17,15,1,2,5,13,18,6,10,9,4,8,7,16,3,14,12,11
Week 34,17,13,1,3,5,14,18,6,11,8,4,10,7,15,2,16,12,9
